"","CASE_CODE","MEMBER_STATE","AID_INSTRUMENT","CASE_TYPE","START_DATE","END_DATE","NOTIFICATION_DATE","DECISIONS","OBJECTIVES","DECISION_DATE","DG_RESPONSIBLE","BANKS_INVOLVED"
"1","SA.33683","Poland","Guarantee, Other","Scheme","2/6/2008","6/29/2008","12/14/2007","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","2/7/2008","Competition DG",""
"2","SA.33760","Spain","Guarantee","Scheme","1/31/2008","6/29/2008","1/15/2008","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","2/8/2008","Competition DG",""
"3","SA.32995","Denmark","Direct grant, Guarantee","Scheme","12/31/2007","6/29/2008","8/28/2007","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","12/8/2007","Competition DG",""
"4","SA.33751","Greece","Other forms of equity intervention","Scheme","12/31/2007","6/29/2008","12/21/2007","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","2/5/2008","Competition DG",""
"5","SA.33154","Hungary","Other","Scheme","12/31/2007","6/29/2008","12/14/2007","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","3/7/2008","Competition DG",""
"6","SA.33170","Hungary","Soft loan","Scheme","12/31/2007","6/29/2008","12/14/2007","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","3/6/2008","Competition DG",""
"7","SA.33007","Ireland","Guarantee","Scheme","12/31/2007","6/29/2008","10/10/2007","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","12/7/2007","Competition DG",""
"8","SA.33153","Portugal","Guarantee","Scheme","12/31/2007","6/29/2008","12/7/2007","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","12/20/2007","Competition DG",""
"9","SA.33740","Greece","Other forms of equity intervention","Individual Application","12/27/2007","","12/19/2007","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","12/27/2007","Competition DG","Piraeus Bank"
"10","SA.33303","Greece","Other forms of equity intervention","Individual Application","12/21/2007","","12/12/2007","Article 4(3) - decision not to raise objections","Remedy for a serious disturbance in the economy","12/21/2007","Competition DG","NBG"
"11","SA.33096","Belgium","Guarantee","Ad Hoc Case","12/20/2007","9/29/2008","10/16/2007","Article 4(4) - decision to extend proceedings, Article 4(4) - decision to initiate the formal investigation procedure","Remedy for a serious disturbance in the economy","5/30/2008","Competition DG","Dexia"
"12","SA.33095","France","Guarantee, Other forms of equity intervention","Ad Hoc Case","12/20/2007","9/29/2008","10/16/2007","Article 4(4) - decision to extend proceedings, Article 4(4) - decision to initiate the formal investigation procedure","Remedy for a serious disturbance in the economy","5/30/2008","Competition DG","Dexia"
